Aldersgrupper,Laboratoriebekræftede,Antal testede personer,Procent positiv,Date
0-9,21,1287,1.6,2020-04-01
10-19,48,1002,4.8,2020-04-01
20-29,276,2568,10.7,2020-04-01
30-39,355,3903,9.1,2020-04-01
40-49,660,4744,13.9,2020-04-01
50-59,599,4324,13.9,2020-04-01
60-69,408,3263,12.5,2020-04-01
70-79,409,3025,13.5,2020-04-01
80-89,260,2088,12.5,2020-04-01
90+,56,572,9.8,2020-04-01
0-9,21,1365.9999999999998,1.5,2020-04-02
10-19,53,1093,4.8,2020-04-02
20-29,300,2885,10.4,2020-04-02
30-39,394,4436,8.9,2020-04-02
40-49,711,5385,13.2,2020-04-02
50-59,660,4939,13.4,2020-04-02
60-69,436,3645,12,2020-04-02
70-79,436,3291.0000000000005,13.2,2020-04-02
80-89,286,2256,12.7,2020-04-02
90+,58,624,9.3,2020-04-02
0-9,23,1514,1.5,2020-04-03
10-19,63,1257.0000000000002,5,2020-04-03
20-29,328,3293.9999999999995,10,2020-04-03
30-39,433,5136,8.4,2020-04-03
40-49,765,6284,12.2,2020-04-03
50-59,733,5877.999999999999,12.5,2020-04-03
60-69,486,4252,11.4,2020-04-03
70-79,462,3630,12.7,2020-04-03
80-89,310,2447,12.7,2020-04-03
90+,69,695,9.9,2020-04-03
0-9,27,1658.0000000000002,1.6,2020-04-04
10-19,74,1448.0000000000002,5.1,2020-04-04
20-29,386,3839,10.1,2020-04-04
30-39,492,5983,8.2,2020-04-04
40-49,837,7394,11.3,2020-04-04
50-59,814,7008.999999999999,11.6,2020-04-04
60-69,546,5084,10.7,2020-04-04
70-79,490,4058,12.1,2020-04-04
80-89,331,2685,12.3,2020-04-04
90+,80,770,10.4,2020-04-04
0-9,32,1800,1.8,2020-04-05
10-19,82,1601,5.1,2020-04-05
20-29,423,4257,9.9,2020-04-05
30-39,545,6586,8.3,2020-04-05
40-49,890,8141,10.9,2020-04-05
50-59,869,7738,11.2,2020-04-05
60-69,588,5560,10.6,2020-04-05
